job_id,inferred,type
3884431523,0,Medical insurance
3884431523,0,Vision insurance
3884431523,0,Dental insurance
3884431523,0,401(k)
3884427968,1,401(k)
3884430505,1,401(k)
3884427971,1,401(k)
3884431497,1,401(k)
3884427963,1,401(k)
3884427965,1,401(k)
3884431490,1,401(k)
3800272386,1,Vision insurance
3800272386,1,Medical insurance
3800272386,1,Dental insurance
3800272386,1,401(k)
3800272386,1,Paid maternity leave
3800272386,1,Paid paternity leave
3800272386,1,Disability insurance
3884429552,1,401(k)
3884427957,1,401(k)
3884431744,0,Medical insurance
3884431744,0,Vision insurance
3884431744,0,Dental insurance
3884431744,0,401(k)
3884431744,0,Paid paternity leave
3884431744,0,Paid maternity leave
3884426975,1,401(k)
3884429777,0,Medical insurance
3884429777,0,Vision insurance
3884429777,0,Dental insurance
3884429777,0,401(k)
3884429777,0,Pension plan
3884429777,0,Paid maternity leave
3884429777,0,Paid paternity leave
3884429777,0,Student loan assistance
3884429777,0,Tuition assistance
3884429777,0,Disability insurance
3884431598,0,Medical insurance
3884431598,0,Vision insurance
3884431598,0,Dental insurance
3884431598,0,401(k)
3884431598,0,Tuition assistance
3884429642,0,Medical insurance
3884429642,0,Vision insurance
3884429642,0,Dental insurance
3884429642,0,401(k)
3884429642,0,Paid paternity leave
3884429642,0,Paid maternity leave
3884429642,0,Tuition assistance
3884429642,0,Disability insurance
3884430512,1,401(k)
3884429852,1,Dental insurance
3884429852,1,Medical insurance
3884429852,1,Vision insurance
3884431771,1,401(k)
3884430718,0,Medical insurance
3884430718,1,Vision insurance
3818306840,1,Medical insurance
3818306840,1,Vision insurance
3818306840,1,Dental insurance
3884427966,1,401(k)
3884429809,0,Medical insurance
3884429809,0,Vision insurance
3884429809,0,Dental insurance
3884429809,0,401(k)
3884429809,0,Pension plan
3884429809,0,Paid maternity leave
3884429809,0,Tuition assistance
3884429809,0,Disability insurance
3884430691,1,401(k)
3884431629,1,Medical insurance
3845924752,1,Medical insurance
3884429620,0,Medical insurance
3884429620,0,Vision insurance
3884429620,0,Dental insurance
3884429620,0,401(k)
3884429620,0,Paid maternity leave
3884429620,0,Child care support
3884429620,0,Pension plan
3884429620,0,Paid paternity leave
3884429620,0,Tuition assistance
3884429620,0,Disability insurance
3884429620,0,Commuter benefits
3884429620,0,Student loan assistance
3857325080,0,Medical insurance
3857325080,0,Vision insurance
3857325080,0,Dental insurance
3857325080,0,401(k)
3857325080,0,Tuition assistance
3884431572,0,Medical insurance
3884431572,0,Pension plan
3884431572,0,Dental insurance
3884431572,0,Vision insurance
3884431572,0,401(k)
3884431572,0,Disability insurance
3884429786,1,401(k)
3884429724,1,401(k)
3821047961,1,401(k)
3821047961,1,Medical insurance
3845877107,0,Medical insurance
3845877107,0,Vision insurance
3845877107,0,Dental insurance
3845877107,0,401(k)
3845877107,0,Commuter benefits
112576855,1,Medical insurance
112576855,1,Dental insurance
112576855,1,Disability insurance
3555161614,1,Medical insurance
231010577,1,401(k)
3875041552,0,Medical insurance
3875041552,0,Vision insurance
3875041552,0,Dental insurance
3875041552,0,401(k)
2747409392,1,Medical insurance
2747409392,1,Dental insurance
2747409392,1,Vision insurance
2914254129,1,Medical insurance
3876572082,0,Medical insurance
3876572082,0,Vision insurance
3876572082,0,Dental insurance
3876572082,0,401(k)
3848960304,1,401(k)
3848960304,1,Medical insurance
117675818,1,Medical insurance
3835806869,0,401(k)
3835806869,0,Dental insurance
3835806869,0,Medical insurance
3835806869,0,Vision insurance
95428182,1,Medical insurance
