salary_id,job_id,max_salary,med_salary,min_salary,pay_period,currency,compensation_type
3936,606178500,135000.0,,105000.0,YEARLY,USD,BASE_SALARY
3980,112576855,120000.0,,90000.0,YEARLY,USD,BASE_SALARY
4060,2264355,,350.0,,MONTHLY,USD,BASE_SALARY
7640,95428182,,25.0,,HOURLY,USD,BASE_SALARY
8059,1829192,50.0,,30.0,HOURLY,USD,BASE_SALARY
8314,266825034,65000.0,,60000.0,YEARLY,USD,BASE_SALARY
8609,103254301,300000.0,,60000.0,YEARLY,USD,BASE_SALARY
11204,23221523,175000.0,,140000.0,YEARLY,USD,BASE_SALARY
12238,805229245,165000.0,,110000.0,YEARLY,USD,BASE_SALARY
14949,10998357,65000.0,,45000.0,YEARLY,USD,BASE_SALARY
15378,227832999,24.0,,18.0,HOURLY,USD,BASE_SALARY
18531,921716,20.0,,17.0,HOURLY,USD,BASE_SALARY
20809,35982263,80000.0,,60000.0,YEARLY,USD,BASE_SALARY
22209,91700727,20.0,,14.0,HOURLY,USD,BASE_SALARY
23764,280496925,4817.0,,4061.0,MONTHLY,USD,BASE_SALARY
24698,266566927,75000.0,,55000.0,YEARLY,USD,BASE_SALARY
27239,705356075,28.0,,24.0,HOURLY,USD,BASE_SALARY
34449,103860943,19.0,,18.0,HOURLY,USD,BASE_SALARY
34712,857299959,90000.0,,40000.0,YEARLY,USD,BASE_SALARY
36524,229924287,,23.0,,HOURLY,USD,BASE_SALARY
36984,445337908,110000.0,,90000.0,YEARLY,USD,BASE_SALARY
